City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,paka,MY,78.73,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
509,tateyama,JP,76.1,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
512,pacific grove,US,73.24,broken clouds,36.6177,-121.9166,Lovers Point Inn
516,buala,SB,79.03,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
520,inhambane,MZ,71.58,few clouds,-23.865,35.3833,Oceano
521,along,IN,75.54,few clouds,28.1667,94.7667,Hotel West
522,sibolga,ID,76.12,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
524,vanimo,PG,75.94,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
526,maumere,ID,74.55,scattered clouds,-8.6199,122.2111,Sylvia Hotel
527,impfondo,CG,76.55,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
533,aborlan,PH,78.87,overcast clouds,9.4352,118.5492,Kevina Transient House
536,talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
542,borovichi,RU,75.11,overcast clouds,58.3878,33.9155,Gostinitsa Vintazh
543,tabou,CI,74.79,clear sky,4.423,-7.3528,hotêl doufoulougou
548,bambanglipuro,ID,75.7,overcast clouds,-7.95,110.2833,Puri Brata
549,etampes,FR,74.61,clear sky,48.4333,2.15,ibis Étampes
552,ca mau,VN,76.62,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
557,barabai,ID,71.96,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
559,zolotukhino,RU,73.47,scattered clouds,52.0842,36.3772,DonVillage
560,noumea,NC,75.99,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
562,ahtopol,BG,74.12,clear sky,42.1,27.95,Agata Beach Hotel
567,abu zabad,SD,77.02,scattered clouds,12.35,29.25,حامد محمد نور
568,chavantes,BR,78.49,light rain,-23.0389,-49.7094,Hotel Pousada Phliladelfia
577,lorengau,PG,79.02,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
587,szany,HU,73.45,clear sky,47.4642,17.304,La Mamma Hotel és Pizzéria
593,chifeng,CN,75.79,moderate rain,42.2683,118.9636,Junyu Tiancheng Hotel
598,manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
604,meulaboh,ID,78.57,overcast clouds,4.1363,96.1285,Kost Pria
605,praia da vitoria,PT,78.76,few clouds,38.7333,-27.0667,Hotel Branco I
611,luau,AO,70.03,clear sky,-10.7073,22.2247,Kimbo Hotel
614,conakry,GN,75.27,broken clouds,9.538,-13.6773,Riviera Royal Hotel
618,chapais,CA,74.98,broken clouds,49.7834,-74.8492,Hôtel Opémiska
620,saiha,IN,70.97,scattered clouds,22.4833,92.9667,"Circuit House, Siaha"
621,tabuk,PH,73.58,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
623,srandakan,ID,75.92,overcast clouds,-7.9386,110.2506,Puri Brata
627,yarada,IN,77.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
628,port moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
629,winneba,GH,72.66,clear sky,5.3511,-0.6231,Windy Lodge & Beach Resort
635,shieli,KZ,77.61,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
637,havre-saint-pierre,CA,71.96,clear sky,50.2334,-63.5986,Auberge Niapiskau
641,waingapu,ID,71.56,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
643,prado,BR,76.48,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
645,narasannapeta,IN,78.57,overcast clouds,18.4167,84.05,AVK events and catering
649,severnyy,RU,73.44,clear sky,50.677,36.5532,Full House North Mini-Hotel
654,tarakan,ID,78.3,heavy intensity rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
668,saint anthony,US,76.08,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
687,ecoporanga,BR,79.65,scattered clouds,-18.3733,-40.8306,Hotel Bar e Restaurante do Dico
690,sept-iles,CA,70.32,broken clouds,50.2001,-66.3821,Comfort Inn
699,jiancheng,CN,78.57,clear sky,30.391,104.5491,Jianyang Celebrity City Hotel
704,talavera,PH,74.95,moderate rain,15.6167,120.9333,R&G's Resort
705,matagami,CA,75.31,broken clouds,49.7502,-77.6328,Motel Le Caribou
706,santo tomas,PH,77.25,light rain,14.1079,121.1414,Microtel by Wyndham Batangas
