City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Narsaq,GL,2022-08-03 23:12:39,60.9167,-46.05,50.22,94,100,2.21
67,Edwardsville,US,2022-08-03 23:12:39,38.8114,-89.9532,82.62,57,55,14.14
68,Ulladulla,AU,2022-08-03 23:12:40,-35.35,150.4667,63.0,81,96,15.17
69,Kapaa,US,2022-08-03 23:09:06,22.0752,-159.319,84.52,69,20,14.97
70,Luwuk,ID,2022-08-03 23:12:40,-0.9516,122.7875,76.62,79,93,4.92
71,Airai,TL,2022-08-03 23:12:41,-8.9266,125.4092,58.89,63,96,2.8
72,Atambua,ID,2022-08-03 23:12:41,-9.1061,124.8925,70.59,78,100,5.01
73,Port Alfred,ZA,2022-08-03 23:12:41,-33.5906,26.891,59.18,91,28,1.01
74,Tiksi,RU,2022-08-03 23:12:42,71.6872,128.8694,44.71,76,99,6.24
75,Yangambi,CD,2022-08-03 23:12:42,0.8102,24.4336,73.15,81,65,0.96
76,Lircay,PE,2022-08-03 23:12:43,-12.9896,-74.7205,53.01,54,3,6.42
77,Hambantota,LK,2022-08-03 23:12:43,6.1241,81.1185,78.21,77,100,25.26
78,Sovetskiy,RU,2022-08-03 23:12:44,61.3614,63.5842,57.42,76,9,4.18
79,Ilulissat,GL,2022-08-03 23:12:44,69.2167,-51.1,50.02,62,100,2.3
80,Naryan-Mar,RU,2022-08-03 23:12:44,67.6713,53.087,54.54,86,95,15.12
81,Tocopilla,CL,2022-08-03 23:11:54,-22.092,-70.1979,61.65,69,16,14.9
82,Hobart,AU,2022-08-03 23:12:02,-42.8794,147.3294,55.26,74,20,12.66
83,Victoria,HK,2022-08-03 23:12:45,22.2855,114.1577,83.32,85,100,10.0
84,Butaritari,KI,2022-08-03 23:12:46,3.0707,172.7902,81.54,77,90,16.17
85,Atuona,PF,2022-08-03 23:02:53,-9.8,-139.0333,77.36,80,15,13.6
86,Hermanus,ZA,2022-08-03 23:12:46,-34.4187,19.2345,48.79,84,4,12.08
87,Mezen,RU,2022-08-03 23:12:47,65.8522,44.24,52.16,81,50,6.78
88,Grojec,PL,2022-08-03 23:13:47,51.8625,20.8676,73.38,64,35,5.64
89,Jumla,NP,2022-08-03 23:13:48,29.2747,82.1838,63.39,97,100,1.52
90,Gabu,GW,2022-08-03 23:13:48,12.2833,-14.2167,73.98,97,100,4.83
91,Wagga Wagga,AU,2022-08-03 23:13:48,-35.1167,147.3667,58.84,94,83,18.45
92,Lishui,CN,2022-08-03 23:13:49,28.4604,119.9103,80.06,88,19,2.21
93,Vyazemskiy,RU,2022-08-03 23:13:49,47.5378,134.7525,75.0,85,83,3.27
94,Le Port,RE,2022-08-03 23:13:50,-20.9373,55.2919,69.76,79,55,4.68
95,Ishigaki,JP,2022-08-03 23:13:50,24.3448,124.1572,85.59,71,56,14.0
96,Elat,IL,2022-08-03 23:13:50,29.5581,34.9482,91.24,35,0,16.11
97,Havoysund,NO,2022-08-03 23:13:51,70.9963,24.6622,53.83,79,74,10.87
98,Tuktoyaktuk,CA,2022-08-03 23:12:23,69.4541,-133.0374,47.53,80,95,5.99
99,Wahiawa,US,2022-08-03 23:13:52,21.5028,-158.0236,82.15,58,40,14.97
100,Pochutla,MX,2022-08-03 23:13:52,15.7432,-96.4661,87.82,69,90,3.11
101,Zheleznodorozhnyy,RU,2022-08-03 23:13:52,55.7503,38.0042,68.61,60,100,5.41
102,Hilo,US,2022-08-03 23:12:57,19.7297,-155.09,84.25,75,0,10.36
103,Souillac,MU,2022-08-03 23:13:53,-20.5167,57.5167,68.38,77,40,9.22
104,Matagami,CA,2022-08-03 23:13:54,49.7502,-77.6328,62.71,94,100,8.05
105,Laguna,US,2022-08-03 23:13:54,38.421,-121.4238,106.34,29,0,11.5
106,Geraldton,AU,2022-08-03 23:13:55,-28.7667,114.6,59.41,72,40,18.41
107,Farmington,US,2022-08-03 23:13:55,36.7281,-108.2187,93.88,21,0,14.97
108,Rundu,NA,2022-08-03 23:13:55,-17.9333,19.7667,62.15,41,3,3.29
109,Kosh-Agach,RU,2022-08-03 23:13:56,50.0,88.6667,48.4,80,77,1.5
110,New Norfolk,AU,2022-08-03 23:12:34,-42.7826,147.0587,54.91,84,40,5.53
111,Lira,UG,2022-08-03 23:13:56,2.235,32.9097,66.61,87,94,3.11
112,Husavik,IS,2022-08-03 23:13:57,66.0449,-17.3389,44.2,97,100,13.73
113,Dikson,RU,2022-08-03 23:12:19,73.5069,80.5464,43.12,98,100,9.62
114,Awjilah,LY,2022-08-03 23:13:58,29.1081,21.2869,80.29,61,0,14.07
115,Henties Bay,NA,2022-08-03 23:13:58,-22.116,14.2845,53.87,92,74,6.13
116,Gusinoye Ozero,RU,2022-08-03 23:13:58,51.1144,106.2614,62.73,84,100,4.27
117,Acapulco,MX,2022-08-03 23:13:59,16.8634,-99.8901,87.62,66,40,3.44
118,Vaitape,PF,2022-08-03 23:13:59,-16.5167,-151.75,78.66,75,11,22.59
119,Salinas,US,2022-08-03 23:12:43,36.6777,-121.6555,98.56,59,0,12.66
120,Kaitangata,NZ,2022-08-03 23:12:16,-46.2817,169.8464,47.07,75,100,5.23
121,Luderitz,NA,2022-08-03 23:14:00,-26.6481,15.1594,53.92,94,2,11.25
122,Vardo,NO,2022-08-03 23:14:01,70.3705,31.1107,51.78,100,100,2.3
123,Novyy Urgal,RU,2022-08-03 23:14:01,51.0736,132.5642,66.67,90,70,2.39
124,Aklavik,CA,2022-08-03 23:14:01,68.2191,-135.0107,67.06,48,28,3.18
125,Plettenberg Bay,ZA,2022-08-03 23:14:02,-34.0527,23.3716,57.78,90,89,5.44
126,Westport,US,2022-08-03 23:14:03,41.1415,-73.3579,88.02,60,0,8.05
127,Upernavik,GL,2022-08-03 23:14:03,72.7868,-56.1549,42.6,77,5,12.37
128,Palembang,ID,2022-08-03 23:12:32,-2.9167,104.7458,73.49,100,20,0.0
129,Sao Joao Da Barra,BR,2022-08-03 23:14:04,-21.6403,-41.0511,68.94,88,0,7.23
130,Hithadhoo,MV,2022-08-03 23:14:04,-0.6,73.0833,80.76,74,97,18.25
131,Port Lincoln,AU,2022-08-03 23:14:04,-34.7333,135.8667,56.37,72,2,29.06
132,Beringovskiy,RU,2022-08-03 23:15:05,63.05,179.3167,51.69,80,100,6.98
133,Mitu,CO,2022-08-03 23:15:06,1.1983,-70.1733,74.41,85,31,3.15
134,Castro,BR,2022-08-03 23:12:24,-24.7911,-50.0119,60.22,69,3,4.34
